Ref,Questions,A,B,C,D,Answer,Comment
PHC0028,Which of the following is recommended for the prevention of rheumatic fever?,Penicillin V,Amoxicillin,Erythromycin,Doxycycline,A,Benzathine benzylpenicillin is recommended for the prevention of rheumatic fever[cite: 9].
PHC0029,What is the recommended treatment for a chronic leg ulcer caused by cellulitis?,Oral amoxicillin/clavulanic acid,Topical corticosteroids,Oral cefalexin,Topical antibiotics,C,The guideline recommends oral cefalexin as a treatment for chronic lower leg ulcers[cite: 5].
PHC0030,Which is a recommended treatment for mild non-specific headache?,Aspirin,Ibuprofen,Paracetamol,Naproxen,C,"Paracetamol is a recommended treatment for mild, non-specific headache[cite: 15]."
PHC0031,What is the first-line treatment for moderate acute malnutrition (MAM) in children?,Ready-to-use therapeutic food (RUTF),F100,F75,Corn-soya blend,D,The guidelines state that corn-soya blend (CSB++) is the recommended treatment for moderate acute malnutrition (MAM)[cite: 3].
PHC0032,What is the recommended management for an uncomplicated case of ringworm?,Oral griseofulvin,Topical clotrimazole,Topical mupirocin,Oral fluconazole,B,The guideline recommends topical clotrimazole for uncomplicated ringworm (tinea corporis)[cite: 5].
PHC0033,What is the initial management for a patient with a boil or abscess?,Incision and drainage,Systemic antibiotics,Topical antibiotic,Oral painkiller,A,The guideline states that incision and drainage is the initial management for a boil or abscess[cite: 5].
PHC0034,According to the guidelines what is a common treatment for atopic eczema?,Oral steroids,Topical corticosteroids,Oral antibiotics,Topical antifungals,B,Topical corticosteroids are a common treatment for atopic eczema[cite: 5].
PHC0035,What is the recommended treatment for an adult with urticaria?,Oral antihistamine,Topical steroid,Oral steroid,Topical antibiotic,A,Oral antihistamine is the recommended treatment for urticaria[cite: 5].
PHC0036,What is the recommended management for a patient with a suspected ectopic pregnancy at a PHC level?,Immediate referral for surgery,Oral analgesics,Methotrexate,Expectant management,A,The guideline states that all patients with a suspected ectopic pregnancy must be referred for a surgical assessment[cite: 6].
PHC0037,What is the initial management for a patient with incomplete miscarriage in the first trimester?,D&C (Dilatation and Curettage),Mifepristone and misoprostol,Misoprostol,Immediate referral,C,The guideline recommends misoprostol as the initial management for incomplete miscarriage in the first trimester[cite: 6].
PHC0038,Which is a recommended antenatal supplement for all pregnant women?,Folic acid and iron,Vitamin A,Vitamin C,Calcium,A,The guideline states that folic acid and iron supplements are recommended for all pregnant women[cite: 6].
PHC0039,What is the management of a patient with mild to moderate gestational hypertension?,Immediate delivery,Bed rest and observation,Labetalol,Magnesium sulphate,B,The guidelines recommend bed rest and observation for mild to moderate gestational hypertension[cite: 6].
PHC0040,What is the recommended management for a patient with eclampsia?,Immediate delivery and magnesium sulphate,Bed rest and observation,Oral antihypertensives,Fluid restriction,A,The guidelines recommend immediate delivery and magnesium sulphate for eclampsia[cite: 6].
PHC0041,What is the recommended treatment for syphilis in pregnancy?,Oral doxycycline,Oral azithromycin,Parenteral benzathine benzylpenicillin,Intravenous ceftriaxone,C,The guideline recommends benzathine benzylpenicillin as the treatment for syphilis in pregnancy[cite: 6].
PHC0042,Which of the following is NOT a risk factor for preterm labour?,Multiple pregnancy,Previous preterm birth,Urinary tract infection,Being of a higher socio-economic status,D,"The guidelines state that urinary tract infection is a risk factor for preterm labour, not socio-economic status[cite: 6]."
PHC0043,According to the guidelines what is the recommended management for preterm prelabour rupture of membranes (PPROM)?,Oral antibiotics and betamethasone,Oral antibiotics only,Betamethasone only,Immediate delivery,A,The guideline recommends oral antibiotics and betamethasone for preterm prelabour rupture of membranes[cite: 6].
PHC0044,When should neonatal resuscitation be initiated?,Immediately after birth if the baby is not breathing,After 30 seconds of observation,After 1 minute of observation,Only if the Apgar score is low,A,The guideline states that neonatal resuscitation should be initiated immediately after birth if the baby is not breathing[cite: 6].
PHC0045,What is the recommended management for postpartum haemorrhage (PPH)?,Oral ergometrine,Parenteral oxytocin,Uterine massage,Immediate surgical intervention,B,Parenteral oxytocin is the recommended management for postpartum haemorrhage[cite: 6].
PHC0046,Which of the following is a recommended treatment for chronic pelvic pain?,NSAIDs,Oral antibiotics,Hormone therapy,Surgical intervention,A,The guideline recommends NSAIDs as a treatment for chronic pelvic pain[cite: 6].
PHC0047,What is the recommended treatment for a patient with chronic kidney disease and a GFR < 30ml/min?,Referral to a nephrologist,Angiotensin-converting enzyme inhibitor (ACE-i),Angiotensin II receptor blocker (ARB),Loop diuretic,A,The guidelines recommend referral to a nephrologist for patients with CKD and a GFR < 30ml/min[cite: 8].
PHC0048,Which of the following is a key management step for a patient with acute kidney injury at the PHC level?,Fluid restriction,Diuretics,Immediate referral,Potassium supplementation,C,The guidelines recommend immediate referral for patients with acute kidney injury[cite: 8].
PHC0049,What is the recommended treatment for symptomatic Benign Prostatic Hyperplasia (BPH)?,Alpha-adrenergic blocker,Finasteride,Doxazosin,Tamsulosin,D,Tamsulosin is the recommended treatment for symptomatic Benign Prostatic Hyperplasia[cite: 8].
PHC0050,What is the first-line treatment for a patient with Type 1 Diabetes Mellitus?,Oral metformin,Insulin,Oral glibenclamide,Lifestyle modifications,B,Insulin is the recommended first-line treatment for Type 1 Diabetes Mellitus[cite: 8].
PHC0051,What is the recommended initial management for a patient with diabetic ketoacidosis (DKA)?,IV fluids,Insulin,Oral glucose,Subcutaneous insulin,A,IV fluids are the recommended initial management for diabetic ketoacidosis (DKA)[cite: 8].
PHC0052,Which of the following is a key management step for a patient with diabetic foot ulcers?,Daily dressing changes,Oral antibiotics,Topical antiseptics,Referral to a specialist,D,The guideline states that patients with diabetic foot ulcers should be referred to a specialist[cite: 8].
PHC0053,What is the recommended treatment for adult hypothyroidism?,Levothyroxine,Carbimazole,Propylthiouracil,Radioactive iodine,A,The guideline recommends levothyroxine as the treatment for adult hypothyroidism[cite: 8].
PHC0054,What is the recommended management for a patient with a confirmed case of measles?,Acyclovir,Antibiotics,Symptomatic and supportive care,Referral to a specialist,C,The guideline states that symptomatic and supportive care is the recommended management for a patient with a confirmed case of measles[cite: 10].
PHC0055,What is the recommended treatment for non-severe/uncomplicated malaria in a child weighing >5-15kg?,Artemether/lumefantrine 1 tablet,Artemether/lumefantrine 2 tablets,Artemether/lumefantrine 3 tablets,Artemether/lumefantrine 4 tablets,A,"For a child weighing >5-15kg, the recommended dose of artemether/lumefantrine is 1 tablet[cite: 6]."
PHC0056,Which of the following is NOT a complication of malaria?,Hypoglycaemia,Severe anaemia,Jaundice,Hypertension,D,"Hypertension is not listed as a complication of malaria, whereas hypoglycaemia, severe anaemia and jaundice are[cite: 6]."
PHC0057,What is the recommended prophylaxis for meningococcal meningitis in close contacts?,Ciprofloxacin,Ceftriaxone,Rifampicin,Azithromycin,C,The guideline recommends rifampicin as prophylaxis for meningococcal meningitis[cite: 15].
PHC0058,What is the recommended management for a patient with suspected viral haemorrhagic fever (VHF)?,Immediate referral,Antibiotics,Antivirals,Supportive care,A,The guideline recommends immediate referral of a patient with suspected viral haemorrhagic fever[cite: 10].
PHC0059,What is the recommended management for a patient with HIV and oral candidiasis?,Oral fluconazole,Nystatin oral suspension,Topical clotrimazole,Oral amphotericin B,A,The guideline recommends oral fluconazole as the treatment for oral candidiasis in a patient with HIV[cite: 11].
PHC0060,What is the recommended treatment for a patient with HIV and chronic herpes simplex ulcers?,Oral aciclovir,Oral antibiotic,Topical antibiotic,Oral antifungal,A,The guideline recommends oral aciclovir for chronic herpes simplex ulcers in a patient with HIV[cite: 11].
PHC0061,According to the guidelines what is the recommended management for a patient with HIV and cryptococcosis?,Immediate referral,Oral fluconazole,Oral amphotericin B,IV amphotericin B,A,The guideline states that a patient with HIV and cryptococcosis should be immediately referred[cite: 11].
PHC0062,What is the recommended prophylaxis for HIV-exposed infants?,Zidovudine,Nevirapine,Cotrimoxazole,Lopinavir,B,The guidelines recommend nevirapine as prophylaxis for HIV-exposed infants[cite: 11].
PHC0063,Which of the following is a side effect of ART in a patient with HIV?,Lactic acidosis,Hepatitis,Nephritis,Gout,A,The guideline lists lactic acidosis as a side effect of ART[cite: 11].
PHC0064,What is the recommended treatment for a patient with vaginal discharge syndrome (VDS)?,Ciprofloxacin,Metronidazole and azithromycin,Doxycycline,Amoxicillin,B,The guideline states that the treatment for vaginal discharge syndrome is metronidazole and azithromycin[cite: 12].
PHC0065,Which of the following is a recommended treatment for male urethritis syndrome (MUS)?,Metronidazole,Ceftriaxone and azithromycin,Ciprofloxacin,Oral doxycycline,B,The guideline recommends ceftriaxone and azithromycin for male urethritis syndrome[cite: 12].
PHC0066,What is the recommended treatment for genital ulcer syndrome (GUS)?,Oral acyclovir,Oral doxycycline,Benzathine benzylpenicillin and oral doxycycline,Ceftriaxone and oral acyclovir,C,The guideline states that the treatment for genital ulcer syndrome is benzathine benzylpenicillin and oral doxycycline[cite: 12].
PHC0067,According to the guidelines what is the correct treatment for genital warts?,Topical podophyllin,Surgical excision,Cryotherapy,Imiquimod cream,A,The guideline states that topical podophyllin is the recommended treatment for genital warts[cite: 12].
PHC0068,At what age is the first dose of the BCG vaccine given?,At birth,6 weeks,10 weeks,14 weeks,A,The guidelines state that the BCG vaccine is administered at birth[cite: 13].
PHC0069,At what age is the measles vaccine given?,At birth,6 months,9 months,12 months,C,The measles vaccine is administered at 9 months[cite: 13].
PHC0070,What is the correct storage temperature for vaccines?,2-8?øC,0-2?øC,-2 to 0?øC,-8 to -2?øC,A,The guideline states that vaccines must be stored in a cold chain at 2-8?øC[cite: 13].
PHC0071,What is the recommended treatment for an acute arthritis attack caused by Gout?,Allopurinol,Colchicine,Indomethacin,Ibuprofen,B,The guideline states that colchicine is the recommended treatment for acute gout[cite: 14].
PHC0072,What is the recommended long-term treatment for chronic gout?,Allopurinol,Colchicine,Indomethacin,Ibuprofen,A,The guideline states that allopurinol is the recommended long-term treatment for chronic gout[cite: 14].
PHC0073,Which of the following is a recommended treatment for osteoarthrosis?,NSAIDs,Corticosteroids,Opioids,Referral for surgery,A,The guideline recommends NSAIDs for the treatment of osteoarthrosis[cite: 14].
PHC0074,What is the recommended management for a patient with an acute stroke?,Immediate referral,Aspirin,Thrombolysis,Anticoagulants,A,The guideline states that all patients with an acute stroke should be referred immediately[cite: 15].
PHC0075,Which of the following is a recommended initial treatment for a patient in status epilepticus?,Oral diazepam,Intramuscular midazolam,IV lorazepam,IV phenytoin,B,The guideline recommends intramuscular midazolam as the initial treatment for status epilepticus[cite: 18].
PHC0076,What is the recommended management for a child with febrile convulsions?,Antipyretic and referral,Anticonvulsant medication,Antipyretic and observation,IV diazepam,A,The guideline recommends an antipyretic for the fever and referral for the febrile convulsions in children[cite: 15].
PHC0077,What is the recommended treatment for a patient with acute meningitis?,Oral antibiotics,IV antibiotics and immediate referral,IM antibiotics and observation,IV antibiotics and referral,B,The guideline states that a patient with acute meningitis should receive IV antibiotics and be referred immediately[cite: 15].
PHC0078,Which of the following is the recommended treatment for a patient with acute psychosis?,Haloperidol,Diazepam,Lorazepam,Carbamazepine,A,The guideline recommends haloperidol for the treatment of acute psychosis[cite: 16].
PHC0079,What is the recommended treatment for a patient with an overdose of an antidepressant?,Immediate referral,Activated charcoal,Gastric lavage,Supportive care,B,The guideline recommends activated charcoal for the treatment of an overdose of an antidepressant[cite: 8].
PHC0080,What is the recommended management for a patient with chronic psychosis (schizophrenia)?,Oral antipsychotic medication,Hospitalization,ECT (Electroconvulsive Therapy),Referral to a specialist,A,The guideline recommends long-term use of oral antipsychotic medication for chronic psychosis[cite: 16].
PHC0081,What is the recommended treatment for a patient with atopic eczema who has a superimposed bacterial infection?,Topical antibiotic,Oral amoxicillin,Topical fusidic acid,Oral cefalexin,D,The guideline recommends oral cefalexin for atopic eczema with a superimposed bacterial infection[cite: 5].
PHC0082,According to the guidelines what is the recommended treatment for acute bacterial pneumonia in a child aged 3 years?,Amoxicillin,Azithromycin,Erythromycin,Ceftriaxone,A,The guidelines recommend amoxicillin for the treatment of acute bacterial pneumonia in children aged 3 years[cite: 17].
PHC0083,What is the recommended management for a patient with a confirmed diagnosis of Bell's Palsy?,Oral corticosteroids,Oral antiviral medication,Oral antibiotic,Oral pain medication,A,The guideline recommends oral corticosteroids for Bell's Palsy[cite: 15].
PHC0084,Which of the following is a recommended treatment for a patient with scabies?,Permethrin 5% cream,Calamine lotion,Benzyl benzoate 25% lotion,Oral ivermectin,C,The guideline recommends benzyl benzoate 25% lotion as a treatment for scabies[cite: 8].
PHC0085,What is the recommended treatment for a patient with chronic hypertension who has developed a cough on an ACE-inhibitor?,Switch to a beta-blocker,Switch to a thiazide diuretic,Switch to an Angiotensin II Receptor Blocker (ARB),Add a calcium channel blocker,C,"The guideline states that if a patient on an ACE-inhibitor develops a cough, they should be switched to an ARB[cite: 4]."
PHC0086,What is the recommended management for a patient with a hypertensive emergency?,Oral nifedipine,Oral hydralazine,IV labetalol,Immediate referral,D,The guideline states that a patient with a hypertensive emergency should be referred immediately[cite: 4].
PHC0087,What is the recommended treatment for an adult with stable angina?,Aspirin,Sublingual nitroglycerin,Oral beta-blocker,Oral calcium channel blocker,B,The guideline recommends sublingual nitroglycerin as the treatment for an adult with stable angina[cite: 4].
PHC0088,What is the recommended treatment for a patient with an unstable angina?,Immediate referral,Oral nitroglycerin,Sublingual nitroglycerin,Aspirin,D,The guideline recommends aspirin as a treatment for unstable angina[cite: 4].
PHC0089,Which of the following is the correct management for a patient with cardiac arrest?,Immediate referral,Cardio-pulmonary resuscitation (CPR),Intravenous adrenaline,Oral aspirin,B,The guideline states that the correct management for cardiac arrest is cardio-pulmonary resuscitation (CPR)[cite: 4].
PHC0090,What is the recommended treatment for a patient with mild congestive cardiac failure?,ACE-inhibitor and diuretic,ACE-inhibitor and beta-blocker,Digoxin,Diuretic,A,The guideline recommends ACE-inhibitor and diuretic as the treatment for mild congestive cardiac failure[cite: 4].
PHC0091,What is the recommended treatment for acute pulmonary oedema?,IV furosemide,Oral furosemide,IV morphine,IV nitroglycerin,A,The guideline recommends IV furosemide for the treatment of acute pulmonary oedema[cite: 4].
PHC0092,Which of the following is the recommended treatment for a child with rheumatic fever?,Oral amoxicillin,Oral erythromycin,Parenteral benzathine benzylpenicillin,Oral penicillin V,C,The guideline recommends parenteral benzathine benzylpenicillin as the treatment for a child with rheumatic fever[cite: 4].
PHC0093,Which is a recommended treatment for dental caries?,Oral antibiotics,Topical fluoride varnish,Oral analgesics,Referral to a dentist,B,Topical fluoride varnish is a recommended treatment for dental caries[cite: 1].
PHC0094,What is the recommended management for a patient with chronic diarrhoea?,Loperamide,Oral antibiotics,Referral for investigation,Oral rehydration solution (ORS),C,The guideline states that chronic diarrhoea requires investigation and referral to determine the underlying cause[cite: 2].
PHC0095,Which of the following is a key management step for a patient with complicated severe acute malnutrition (SAM)?,Outpatient care with RUTF,Inpatient care with F75,Oral antibiotics,Zinc sulphate,B,"The guideline states that complicated SAM requires inpatient care, starting with F75[cite: 3]."
PHC0096,What is the recommended treatment for an adult with type 2 diabetes and hypertension?,Metformin,Glibenclamide,ACE-inhibitor,Insulin,C,The guideline recommends an ACE-inhibitor for a patient with type 2 diabetes and hypertension[cite: 9].
PHC0097,What is the recommended treatment for an adult with type 2 diabetes and no comorbidities?,Metformin,Glibenclamide,Insulin,ACE-inhibitor,A,The guideline recommends metformin as the first-line treatment for type 2 diabetes in adults with no comorbidities[cite: 9].
PHC0098,What is the recommended treatment for a patient with a viral haemorrhagic fever?,Supportive care,Oral antibiotics,Oral antivirals,IV fluids,A,The guideline states that the management for a viral haemorrhagic fever is supportive care[cite: 10].
PHC0099,What is the recommended treatment for a patient with candidiasis of the skin?,Topical antifungal cream,Oral fluconazole,Oral nystatin,Oral ketoconazole,A,The guideline recommends topical antifungal cream for candidiasis of the skin[cite: 5].
PHC0100,Which of the following is a recommended treatment for an adult with a perianal abscess?,Oral antibiotic,Incision and drainage,Topical antibiotic,Analgesics,B,The guideline states that incision and drainage is the recommended management for a perianal abscess[cite: 2].
PHC0101,Which of the following is a recommended treatment for an adult with constipation?,Bulk-forming laxatives,Loperamide,Magnesium hydroxide,Bisacodyl,A,The guideline recommends bulk-forming laxatives for constipation in adults[cite: 2].
PHC0102,What is the recommended treatment for a child with chronic constipation?,Lactulose,Oral paraffin,Bisacodyl,Loperamide,A,The guideline recommends lactulose for a child with chronic constipation[cite: 2].
PHC0103,What is the recommended management for a patient with a suspected anal fissure?,Surgical referral,Topical corticosteroids,Bulk-forming laxatives,Antibiotics,C,The guideline recommends bulk-forming laxatives for a patient with a suspected anal fissure[cite: 2].
PHC0104,What is the recommended treatment for an adult with acute uncomplicated diarrhoea?,Oral antibiotics,Oral rehydration solution,Loperamide,Oral probiotics,B,The guideline recommends oral rehydration solution for acute uncomplicated diarrhoea[cite: 2].
PHC0105,What is the recommended treatment for a child with acute diarrhoea?,Oral antibiotics,Oral rehydration solution,Zinc supplementation,Loperamide,B,The guideline recommends oral rehydration solution for a child with acute diarrhoea[cite: 2].
PHC0106,Which of the following is a recommended treatment for a patient with dysentery?,Oral ciprofloxacin,Oral azithromycin,Oral metronidazole,Oral amoxicillin,B,The guideline recommends oral azithromycin for dysentery[cite: 2].
PHC0107,What is the recommended treatment for a patient with uncomplicated tinea pedis (athlete's foot)?,Oral griseofulvin,Topical antifungal cream,Topical antiseptic,Oral antibiotic,B,The guideline recommends a topical antifungal cream for uncomplicated tinea pedis[cite: 5].
PHC0108,What is the recommended treatment for a patient with tinea capitis (scalp ringworm)?,Topical antifungal cream,Oral griseofulvin,Oral fluconazole,Oral ketoconazole,B,The guideline recommends oral griseofulvin for tinea capitis[cite: 5].
PHC0109,What is the recommended management for a patient with a chronic lower leg ulcer?,Oral amoxicillin,Oral cefalexin,Topical antibiotic,Topical steroid,B,The guideline recommends oral cefalexin for a chronic lower leg ulcer[cite: 5].
PHC0110,What is the recommended management for a patient with a boil?,Incision and drainage,Oral antibiotics,Topical antibiotics,Oral painkillers,A,The guideline states that the recommended management for a boil is incision and drainage[cite: 5].
PHC0111,Which of the following is a recommended treatment for an adult with a sore throat?,Oral antibiotics,Oral analgesics,Referral to a specialist,Topical anaesthetic,B,The guideline recommends oral analgesics for a sore throat[cite: 19].
PHC0112,What is the recommended management for a patient with a suspected deep vein thrombosis (DVT)?,Immediate referral,Anticoagulant medication,Bed rest,Elastic stockings,A,The guideline recommends immediate referral for a patient with a suspected DVT[cite: 19].
PHC0113,What is the recommended treatment for a patient with a nosebleed?,Pinching the nostrils and leaning forward,Pinching the nostrils and leaning backward,Packing the nose with cotton,Referral to a specialist,A,The guideline states that the recommended management for a nosebleed is to pinch the nostrils and lean forward[cite: 19].
PHC0114,What is the recommended management for a patient with a suspected fracture?,Surgical referral,Immobilization and referral,Oral painkillers,X-ray,B,The guideline recommends immobilization and referral for a patient with a suspected fracture[cite: 19].
PHC0115,Which of the following is a recommended treatment for a patient with a sprained ankle?, elevation (RICE),Immobilization,Surgical referral,Oral antibiotics,A,"The guideline recommends Rest, Ice, Compression, Elevation (RICE) for a sprained ankle[cite: 19]."
PHC0116,What is the recommended treatment for a patient with a foreign body in the eye?,Flushing the eye with water,Removal of the foreign body with a cotton swab,Referral to an ophthalmologist,Oral antibiotics,C,The guideline recommends referral to an ophthalmologist for a foreign body in the eye[cite: 19].
PHC0117,What is the recommended management for a patient with a suspected retinal detachment?,Immediate referral to an ophthalmologist,Oral painkiller,Bed rest,Referral to a general practitioner,A,The guideline states that a patient with a suspected retinal detachment should be referred to an ophthalmologist immediately[cite: 19].
PHC0118,What is the recommended management for a patient with acute otitis media?,Oral antibiotics,Referral to a specialist,Oral analgesics,Topical antibiotics,C,The guideline recommends oral analgesics for the management of acute otitis media[cite: 19].
PHC0119,What is the recommended management for a patient with chronic otitis media?,Oral antibiotics,Topical antibiotics,Referral to a specialist,Oral painkiller,C,The guideline recommends referral to a specialist for a patient with chronic otitis media[cite: 19].
PHC0120,What is the recommended management for a patient with a suspected mastoiditis?,Immediate referral,Oral antibiotics,Intravenous antibiotics,Surgical referral,A,The guideline recommends immediate referral for a patient with a suspected mastoiditis[cite: 19].
PHC0121,What is the recommended treatment for a patient with suspected appendicitis?,Oral antibiotics,Analgesics,Immediate referral for surgery,Observation and pain management,C,The guideline recommends immediate referral for surgery for a patient with suspected appendicitis[cite: 2].
PHC0122,Which is a recommended treatment for a patient with oral candidiasis?,Oral nystatin,Oral fluconazole,Topical antifungal cream,Oral itraconazole,A,The guideline recommends oral nystatin for the treatment of oral candidiasis[cite: 1].
PHC0123,What is the recommended treatment for a patient with a dental abscess?,Oral antibiotics,Incision and drainage,Referral to a dentist,Oral pain medication,C,The guideline recommends referral to a dentist for a dental abscess[cite: 1].
PHC0124,What is the recommended treatment for a patient with a suspected cellulitis?,Oral antibiotics,Topical antibiotics,Topical steroids,Incision and drainage,A,The guideline recommends oral antibiotics for the treatment of a suspected cellulitis[cite: 5].
PHC0125,Which of the following is a recommended management step for a patient with impetigo?,Topical antibiotic,Oral antibiotic,Topical steroid,Incision and drainage,A,The guideline recommends a topical antibiotic for the treatment of impetigo[cite: 5].
PHC0126,What is the recommended management for a patient with tinea corporis?,Oral antifungal,Topical antifungal,Oral antibiotic,Topical steroid,B,The guideline recommends a topical antifungal for the treatment of tinea corporis[cite: 5].
PHC0127,Which of the following is the recommended treatment for a patient with a boil?,Incision and drainage,Oral antibiotics,Topical antibiotics,Oral painkillers,A,The guideline states that the recommended management for a boil is incision and drainage[cite: 5].
